Ghent (Kluizendok) Wind Farm Belgium,Belgium,Operating Fully,51.1593,3.7643,22,"Ghent-Terneuzen Canal, East Flanders, Belgium",Please Select,11,40,,National Grid,SPE-Luminus,80,Private,,SPE-Luminus,,,http://www.spe.be/index.php?page=production&subpage=how&section=company&subsubpage=wind
Hoogstraten Wind Farm Netherlands,Belgium,Operating Fully,51.4747,4.7315,12,"Along E19 highway, Meer-Hoogstraten, Antwerp, Belgium",Farmland,6,,,National Grid,Electrabel GDF Suez,,Private,,Electrabel,,,http://www.electrabel.be/whoarewe/activities/generationfacilities.aspx
Leuze-en-Hainaut Wind Farm Belgium,Belgium,Operating Partially,50.5544,3.6348,20.7,"Leuze-en-Hainaut, Hainaut, Belgium",Farmland,9,,,Please Select,Windvision,,,,Windvision,,,http://www.windvision.be/projets-en-belgique/leuze-en-hainaut-et-beloeil/
Lommel (Balendijk) Wind Farm Belgium,Belgium,Operating Fully,51.21054,5.2598,8,"Industrial Park Balendijk, Lommel, Limburg, Belgium",Farmland,4,12,,National Grid,,,Private,,Aspiravi,,,http://www.aspiravi.be/en/wind_real.aspx
Lommel (Nyrstar/Umicore) Wind Farm Belgium,Belgium,Operating Fully,51.2067,5.2545,8,"Nyrstar property, Lommel, Limburg, Belgium",Unused Marginal Land,4,12,,Please Select,"GISLOM NV (Umicore, Arco Group, Hefboom)",,Private,,Aspiravi,,,http://www.aspiravi.be/en/wind_real.aspx
Marbais Wind Farm Belgium,Belgium,Operating Fully,50.534,4.5134,16,"Marbais, Walloon Brabant, Belgium",Farmland,8,,,National Grid,Air Energy  Holding NV (Eneco is major stakeholder),,Private,,Air Energy,,,http://www.airenergy.be/en/page/realisations/2.aspx?projectid=2
Perwez Wind Farm Belgium,Belgium,Operating Fully,50.6116,4.7974,12,"Perwez, Walloon Brabant, Belgium",Farmland,8,,,National Grid,Air Energy (5/8 turbines in Phase I),,Private,Air Energy and Aspiravi,Electrabel and Aspiravi,,,http://www.electrabel.be/whoarewe/activities/generationfacilities.aspx
Rodenhuize Wind farm Belgium,Belgium,Operating Fully,51.1357,3.7878,4,"N of Rodenhuize, Ghent, East Flanders, Belgium",Please Select,2,10,,Please Select,Electrabel GDF Suez,100,Private,,Electrabel Green Projects Flanders,,,http://www.elia.be/upload/ProductionParkOverview.html
Schelle Wind Farm Belgium,Belgium,Operating Fully,51.1265,4.3226,4.5,"Schelle, Antwerp, Belgium",Semi-Preserved,3,,,National Grid,Electrabel GDF Suez,,Private,,Electrabel,,,http://www.elia.be/upload/ProductionParkOverview.html
Spontin Wind Farm Belgium,Belgium,Operating Fully,50.2981,4.9832,12,"SW of Spontin, Namur, Belgium",Please Select,6,,,National Grid,,,,,,,,http://www.thewindpower.net/wind-farm-258.php
