Name,Description,URL
Valerio De Sanctis,"Valerio De Sanctis is a skilled IT professional with over 12 years' experience in lead programming, web-based development, and project man...",https://www.packtpub.com/books/info/authors/valerio-de-sanctis
Judy Raj,"Judy Raj is a Google Certified Professional Cloud Architect, and she has great experience with the three leading cloud platforms, namely AWS, A...",https://www.packtpub.com/books/info/authors/judy-raj
Janani Ravi,Janani Ravi is a certified Google Cloud Architect and Data Engineer. She has earned her master's degree in electrical engineering from Sta...,https://www.packtpub.com/books/info/authors/janani-ravi
Tom O.,"Tom O. has nine years experience as a teacher of mathematics, physics, statistics, and programming. He worked for five years as a database prog...",https://www.packtpub.com/books/info/authors/tom-qwsiak
Daniel We,"Daniel We is a 29 year old entrepreneur, data scientist and data analytics / visual analytics consultant. He holds a master degree and is certi...",https://www.packtpub.com/books/info/authors/daniel-we
Sravani Bhattacharjee,"She is a 20 years practitioner in the Data Communications industry. As a technology leader at Cisco for over 14 years, she led end-to-end archi...",https://www.packtpub.com/books/info/authors/sravani-bhattacharjee
Erdal Ozkaya,"Erdal Ozkaya is a Doctor of IT in Cybersecurity, master of information systems security, Master of Computing Research CEI, MCT, MCSE, E|CEH, E|...",https://www.packtpub.com/books/info/authors/erdal-ozkaya
Juha Hinkula,Juha Hinkula is a software development lecturer at Haaga-Helia University of Applied Sciences in Finland. He received an MSc degree in computer...,https://www.packtpub.com/books/info/authors/mr-juha-hinkula
Tim Woodruff,"Tim Woodruff is a ServiceNow architect and developer who has spent his entire adult life working in IT systems and development, with over a dec...",https://www.packtpub.com/books/info/authors/tim-woodruff
Thomas Uphill,"Thomas Uphill is an RHCA who has been using Puppet since version 0.24. He has been a system administrator for nearly 20 years, more than 10 of ...",https://www.packtpub.com/books/info/authors/thomas-uphill
Luis Capelo,"Luis Capelo is a Harvard-trained analyst and a programmer, who specializes in designing and developing data science products. He is based in Ne...",https://www.packtpub.com/books/info/authors/luis-capelo
Cyrille Rossant,"Cyrille Rossant, PhD, is a neuroscience researcher and software engineer at University College London. He is a graduate of École Normale Supé...",https://www.packtpub.com/books/info/authors/cyrille-rossant
Syed Muhammad Fahad Akhtar,"Syed Muhammad Fahad Akhtar has 12+ years of industry experience in analysis, designing, developing, integrating, and managing large application...",https://www.packtpub.com/books/info/authors/fahad-akhtar
Salman A. Baset,"Salman A. Baset is currently working as CTO Security, IBM Blockchain Solutions. He oversees the security and compliance of blockchain solutions...",https://www.packtpub.com/books/info/authors/salman-baset
Anthony O'Dowd,Anthony O'Dowd is a technical leader in IBM's Blockchain team. Anthony is based in Europe as part of a worldwide team that help users...,https://www.packtpub.com/books/info/authors/anthony-odowd
Venkatraman Ramakrishna,"Venkatraman Ramakrishna is an IBM Researcher with 10 years of experience. Following a B. Tech. from IIT Kharagpur and a PhD from UCLA, he worke...",https://www.packtpub.com/books/info/authors/venkatraman-ramakrishna
Petr Novotny,Petr Novotny is a Research Scientist at IBM Research with more than 15 years of experience in engineering and research of software systems. He ...,https://www.packtpub.com/books/info/authors/petr-novotny
Luc Desrosiers,"Luc Desrosiers is an IBM Certified IT Architect with over 20 years of experience. Throughout his career, Luc has taken on different roles: deve...",https://www.packtpub.com/books/info/authors/luc-desrosiers
Nitin Gaur,"Nitin Gaur, in his current role as Director of IBM's Blockchain Labs, is responsible for instituting a body of knowledge and organizationa...",https://www.packtpub.com/books/info/authors/nitin-gaur
Luis Augusto Weir,Luis Weir is an Oracle Ace Director and a Thought Leader in PaaS technologies and SOA. With more than 15 years of experience implementing IT so...,https://www.packtpub.com/books/info/authors/luis-augusto-weir
Leonardo Sampaio,Leonardo Sampaio is an Oracle Certified Master Java EE Enterprise Architect and an IBM Agile Achiever. He has over 15 years of experience des...,https://www.packtpub.com/books/info/authors/leonardo-sampaio
Martin Reinhardt,"Martin Reinhardt has around 10 years' experience in research, enterprise solutions, consulting, portal development, JEE solutions, applica...",https://www.packtpub.com/books/info/authors/martin-reinhardt
Kevin Hennessy,"Kevin Hennessy is a Senior Software Engineer with Applied Information Sciences. He has 20 years' experience as a developer, team lead, and...",https://www.packtpub.com/books/info/authors/kevin-hennessy
