Word,Audio,Category
bulky,https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-bulky.ogg,adjective
bum,https://upload.wikimedia.org/wikipedia/commons/a/a3/En-ca-bum.ogg,noun
bumped,,
bun,,
bunches,,
bunk,,
bunt,,
Burl,,
burn,https://upload.wikimedia.org/wikipedia/commons/b/b9/En-us-burn.ogg,noun
burp,,
burst,https://upload.wikimedia.org/wikipedia/commons/e/e1/En-us-burst.ogg,noun
bush,https://upload.wikimedia.org/wikipedia/commons/2/20/En-us-bush.ogg,noun
bushels,,
butt,https://upload.wikimedia.org/wikipedia/commons/4/43/En-us-butt.ogg,noun
byte,https://upload.wikimedia.org/wikipedia/commons/2/24/En-us-byte.ogg,noun
cable,https://upload.wikimedia.org/wikipedia/commons/8/81/En-us-cable.ogg,noun
caffeine,https://upload.wikimedia.org/wikipedia/commons/1/18/En-us-caffeine.ogg,noun
cage,https://upload.wikimedia.org/wikipedia/commons/6/61/En-us-cage.ogg,noun
Calculus,,
calendar,https://upload.wikimedia.org/wikipedia/commons/1/16/En-us-calendar.ogg,noun
calf,https://upload.wikimedia.org/wikipedia/commons/7/74/En-us-calf.ogg,noun
calm,https://upload.wikimedia.org/wikipedia/commons/5/51/En-us-calm.ogg,adjective
camera,https://upload.wikimedia.org/wikipedia/commons/5/59/En-us-camera.ogg,noun
campaign,https://upload.wikimedia.org/wikipedia/commons/5/5b/En-us-campaign.ogg,noun
campus,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d8/En-us-campus.ogg/En-us-campus.ogg.mp3,noun
cancer,https://upload.wikimedia.org/wikipedia/commons/7/7b/En-us-cancer.ogg,noun
candidly,,
candles,,
cane,https://upload.wikimedia.org/wikipedia/commons/e/e4/En-us-cane.ogg,noun
canopy,https://upload.wikimedia.org/wikipedia/commons/0/0f/En-us-canopy.ogg,noun
cap,https://upload.wikimedia.org/wikipedia/commons/0/05/En-us-cap.ogg,noun
capable,https://upload.wikimedia.org/wikipedia/commons/5/54/En-us-capable.ogg,adjective
cape,https://upload.wikimedia.org/wikipedia/commons/3/3a/En-us-cape.ogg,noun
capsize,,
captive,https://upload.wikimedia.org/wikipedia/commons/1/11/En-us-captive.ogg,noun
carbon,https://upload.wikimedia.org/wikipedia/commons/2/25/En-us-carbon.ogg,noun
card,https://upload.wikimedia.org/wikipedia/commons/d/dc/En-us-card.ogg,noun
cardiac,https://upload.wikimedia.org/wikipedia/commons/3/39/Cardiac-us-pron.ogg,adjective
Carey's,,
cargo,https://upload.wikimedia.org/wikipedia/commons/9/97/En-us-cargo.ogg,noun
Carla,,
carp,https://upload.wikimedia.org/wikipedia/commons/5/5b/En-us-carp.ogg,noun
carpet,https://upload.wikimedia.org/wikipedia/commons/3/38/En-uk-carpet.ogg,noun
carton,,
carve,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f8/En-us-carve.ogg/En-us-carve.ogg.mp3,verb
case,https://upload.wikimedia.org/wikipedia/commons/0/00/En-us-case.ogg,noun
Casey,,
cashes,,
cask,https://upload.wikimedia.org/wikipedia/commons/1/18/En-us-cask.ogg,noun
casual,,
catholic,https://upload.wikimedia.org/wikipedia/commons/7/75/En-us-Catholic.ogg,adjective
cats,,
cattle,https://upload.wikimedia.org/wikipedia/commons/0/0e/En-us-cattle.ogg,noun
cav,,
ceiling,https://upload.wikimedia.org/wikipedia/commons/a/a9/En-us-ceiling.ogg,noun
Celeste,,
celibacy,,
cell,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/4d/En-us-cell.ogg/En-us-cell.ogg.mp3,noun
cellular,,
