URL,Category
https://upload.wikimedia.org/wikipedia/commons/8/85/En-us-bean.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/c/c7/En-us-bear.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/fb/En-us-bears.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/1/11/En-us-beat.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/7/72/En-us-beaten.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/e/ea/En-us-beautiful.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/c/c1/En-us-beauty.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/b4/En-us-because.ogg,adverb
https://upload.wikimedia.org/wikipedia/commons/7/73/En-us-become.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/f/fa/En-uk-bed.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e8/En-us-beds.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/1/15/En-us-bedtime.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/7/7d/En-us-beech.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e1/En-uk-beef.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/0/08/En-us-been.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/6/6b/En-us-bees.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/8/8e/En-us-before.ogg,preposition
https://upload.wikimedia.org/wikipedia/commons/7/7a/En-uk-to_begin.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/2/2f/En-us-behave.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/3/30/En-us-belief.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/9/99/En-us-believe.ogg,verb
,
,
https://upload.wikimedia.org/wikipedia/commons/d/d6/En-us-bell.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/9/99/En-us-bells.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e0/En-us-belt.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/3/3a/En-us-bench.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/b/be/En-us-bent.ogg,verb
,
,
https://upload.wikimedia.org/wikipedia/commons/f/f3/En-us-ne-berry.ogg,noun
,
,
,
,
https://upload.wikimedia.org/wikipedia/commons/3/3a/En-us-best.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/9/98/En-us-bet.ogg,noun
,
,
,
,
,
https://upload.wikimedia.org/wikipedia/commons/4/46/En-us-bib.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/b/b7/En-us-bid.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/9/96/En-us-big.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/d/d5/En-us-bike.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/d/d5/En-us-bilk.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/f9/En-us-bill.ogg,proper noun
https://upload.wikimedia.org/wikipedia/commons/9/9b/En-us-billion.ogg,numeral
,
,
,
https://upload.wikimedia.org/wikipedia/commons/8/80/En-us-bin.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/1/19/En-us-bind.ogg,verb
,
,
