Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Plant Use,Location,Power Grid,Cooling Water,Year Commissioned,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Hazelwood Coal Power Plant Australia,Australia,Operating Fully,-38.2724,146.3912,1600,Sub-critical Thermal,Base Load,"Hazelwood, Latrobe Valley, Victoria, Australia",Regional Grid,Hazelwood Pondage fed from the Moondarra Reservoir,1964-00-00,International Power ï¿½ GDF SUEZ,42.125,Private,Siemens,NRG Gladstone,,,http://www.nrggos.com.au/page/About_Us/
Kogan Creek Coal Power Plant Australia,Australia,Operating Fully,-26.9164,150.74917,750,Super-critical Thermal,Base Load,"Chinchilla near Surat,  Queensland, Australia",Regional Grid,Air Cooling,2007-00-00,CS Energy,100,IPP,"Siemens, PB Power",CS Energy,,,http://www.csenergy.com.au/content-%2842%29-kogan-creek.htm
Kwinana ABC Coal Power Plant Australia,Australia,Operating Fully,-32.1982,115.775,420,Sub-critical Thermal,Base Load,"32 km S of Perth, Western Australia",Regional Grid,Seawater,1970-09-00,Verve Energy,,Government Province,,Verve Energy,,,http://www.verveenergy.com.au/mainContent/powerStations/Kwinana.html
Liddell Coal Power Plant Australia,Australia,Operating Fully,-32.3715,150.978,2000,Sub-critical Thermal,Base Load,"Muswellbrook, New South Wales, Australia",Regional Grid,Liddell Lake,1971-00-00,Macquarie Generation,100,Government,,Macquarie Generation,,,http://www.macgen.com.au/Generation-Portfolio/Liddell-Power-Station.aspx
Loy Yang A Coal Power Plant Australia,Australia,Operating Fully,-38.2533,146.5749,2210,Sub-critical Thermal,Base Load,"Traralgon, Victoria, Australia",Regional Grid,Moondarra Reservoir situated 25 kilometres northwest of the power station,1985-00-00,"Great Energy Alliance Corporation (GEAC) consisting of AGL, Tokyo Electric Power Co",,Private,,Loy Yang Power Management,,,http://www.loyyangpower.com.au/
Loy Yang B Coal Power Plant Australia,Australia,Operating Fully,-38.2561,146.5864,955,Sub-critical Thermal,Base Load,"Traralgon, Victoria, Australia",Regional Grid,,1993-00-00,International Power ï¿½ GDF SUEZ,,Private,,Loy Yang Power Management,,,http://www.loyyangpower.com.au/
Millmerran Coal Power Plant Australia,Australia,Operating Fully,-27.96167,151.27917,880,Super-critical Thermal,Base Load,"9km South of Millmerran, Queensland, Australia",Regional Grid,,2003-00-00,InterGen Australia (Huaneng OzGen),53.7,IPP,,InterGen Australia,,,http://www.intergen.com/millmerran/
Mount Piper Coal Power Plant Australia,Australia,Operating Fully,-33.3586,150.0316,1400,Sub-critical Thermal,Base Load,"Portland, New South Wales, Australia",Regional Grid,Lyell Dam and Thomsons Creek Dam,1993-00-00,Energy Australia (acquired Mt Piper and Wallerawang power stations from NSW government in September 2013),100,,,Energy Australia (acquired Mt Piper and Wallerawang power stations from NSW government in September 2013),,,http://www.de.com.au/Power-Stations/Mt-Piper/Mt-Piper/default.aspx and http://www.de.com.au/About-Us/Annual-Reports/default.aspx
Muja Coal Power Plant Australia,Australia,Operating Fully,-33.4462,116.307,854,Sub-critical Thermal,Base Load,"225 km SE of Perth and 22 km E of Collie, Western Australia",Regional Grid,,1966-04-21,Verve Energy,,,SEC Western Australia,Verve Energy,,,http://www.verveenergy.com.au/mainContent/powerStations/muja.html
Munmorah Coal Power Station Australia (Shutdown),Australia,Decommissioned,-33.2117,151.5418,600,Sub-critical Thermal,Base Load,"near Doyalson, on the shores of Lake Munmorah, New South Wales, Australia",Regional Grid,Lake Munmorah and Budgewoi,1967-00-00,Delta Electricity,,Government of New South Wales,,Delta Electricity,,,http://www.de.com.au/New-Developments/Munmorah-Rehabilitation/default.aspx
