Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Plant Use,Location,Power Grid,Cooling Water,Year Commissioned,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Randers Coal CHP Power Plant Denmark,Denmark,Operating Fully,56.4584,10.0475,52,Sub-critical Thermal,Please Select,"Randers, North Jutland, Denmark",National Grid,Seawater,1982-00-00,Energi Randers A/S,,,,Energi Randers A/S,,,http://www.aet-biomass.com/it/energi_randers.php
Stignaes Coal CHP Power Plant Denmark,Denmark,Operating Fully,55.2079,11.2528,409,Sub-critical Thermal,Base Load,"Skaelskor, Zealand, Denmark",National Grid,Seawater,1966-00-00,DONG Energy,100,,,DONG Energy,,,http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/stigsnaes_power_station.aspx
Studstrup Coal CHP Power Plant Denmark,Denmark,Operating Fully,56.2504,10.344,750,Sub-critical Thermal,Base Load,"Studstrup, Kalo Vig, Aarhus, North Jutland, Denmark",National Grid,Seawater,1984-00-00,DONG Energy,,,,DONG Energy,,,http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/studstrup_power_station.aspx
Hanasaari-B Thermal CHP Power Plant Finland,Finland,Operating Fully,60.1841,24.9711,220,Sub-critical Thermal,Please Select,"Helsinki, Southern Finland, Finland",National Grid,Seawater,1974-00-00,Helsingin Energia,,,,Helsingin Energia,,,http://www.helen.fi/ymparisto_eng/hanasaari.html
Inkoo Coal Power Plant Finland,Finland,Operating Partially,60.02,23.912778,750,Sub-critical Thermal,Peaking Load and Backup,"Gulf of Finland in Fagervik, Inkoo, Southern Finland, Finland",National Grid,Seawater,1974-00-00,Fortum,,,,Fortum,,,http://www.fortum.com/en/energy-production/condensing-power/inkoo-pp/pages/default.aspx
Kristiina Thermal Power Plant Finland,Finland,Operating Fully,62.2553,21.3268,452,Sub-critical Thermal,Please Select,"Kristinestad, Western Finland, Finland",National Grid,Seawater,1974-00-00,Pohjolan Voima Oy,100,,,Pohjolan Voima Oy,,,8134-PVO_kristiina_08_ENG.pdf
Martinlaakso Thermal CHP Power Plant Finland,Finland,Operating Fully,60.2833,24.8364,195,Sub-critical Thermal,Please Select,"Martinlaakso, Southern Finland, Finland",National Grid,,1975-00-00,Vantaan Energia Oy,,,,Vantaan Energia Oy,,,http://www.vantaanenergia.fi/en/SocialResponsibility/theenergyandtheenvironment/Pages/EfficientPowerfromcogeneration.aspx
Meri-Pori Coal Power Plant Finland,Finland,Operating Fully,61.6317,21.4068,565,Super-critical Thermal,Base Load,"Tahkoluoto, Pori, Western Finland, Finland",National Grid,Seawater,1994-00-00,Fortum,55,,,Fortum,,,http://www.fortum.com/en/energy-production/condensing-power/meri-pori-pp/pages/default.aspx
Mussalo Thermal CHP Power Plant Finland,Finland,Operating Fully,60.4352,26.9118,313,Sub-critical Thermal,Please Select,"Island of Mussolo, Kotka, Southern Finland, Finland",National Grid,Seawater,1966-00-00,Pohjolan Voima Oy,100,,,Mussalon Voima Oy,,,8135-PVO_mussalo_08_ENG.pdf
Naantali Thermal CHP Power Plant Finland,Finland,Operating Fully,60.4583,22.0542,375,Sub-critical Thermal,Please Select,"Naantali, Turku, Western Finland, Finland",National Grid,Seawater,1960-00-00,Fortum,49.5,,,Fortum  (for Turun Seudun Maakaasu ja Energiantuotanto Oy (TSME)),,,http://www.fortum.com/en/mediaroom/pages/fortum-to-sell-the-shares-of-fortum-heat-naantali-oy-to-regional-energy-producer-tsme-in-turku-finland.aspx
Salmisaari-B Thermal CHP Power Plant Finland,Finland,Operating Fully,60.1656,24.9048,160,Sub-critical Thermal,Please Select,"Salmisaari, Southern Finland, Finland",National Grid,Seawater,1984-00-00,Helsingin Energia,,,,Helsingin Energia,,,http://helen.fi/ymparisto_eng/salmisaari.html
Tahkoluoto Thermal CHP Power Plant Finland,Finland,Operating Fully,61.6322,21.405,235,Sub-critical Thermal,Please Select,"Tahkoluoto, Pori, Western Finland, Finland",National Grid,Seawater,1976-00-00,Pohjolan Voima Oy,100,,,Pohjolan Voima Oy,,,http://www.pohjolanvoima.fi/en/company
Vaskiluoto Thermal CHP Power Plant Finland,Finland,Operating Fully,63.0914,21.5539,390,Sub-critical Thermal,Please Select,"Vaasa, Western Finland, Finland",National Grid,Seawater,1972-00-00,EDA Energy Ltd,50,,,Vaskiluodon Voima Oy,,,
Bienod Thermal Power Plant France,France,Operating Fully,48.8684,6.08024,750,Sub-critical Thermal,Peaking Load,"Blénod-lès-Pont-à-Mousson, Meurthe-et-Moselle",National Grid,Moselle river,1963-00-00,Electricite de France (EdF),,,,Electricité de France,,,http://energies.edf.com/edf-fr-accueil/la-production-d-electricite-edf/thermique/les-centrales-thermiques-a-flamme/blenod/presentation-120807.html
Bouchain Coal Power Plant France,France,Operating Partially,50.2964,3.31585,250,Sub-critical Thermal,Peaking Load,"Bouchain, département of Nord, in triangle between cities of Douai, Valenciennes, Cambrai.",National Grid,,1970-00-00,Electricite de France (EdF),100,,,Electricité de France,,,http://energies.edf.com/edf-fr-accueil/la-production-d-electricite-edf/thermique/les-centrales-thermiques-a-flamme/bouchain/presentation-120662.html
Centrale de Lucy Coal Power Station France,France,Operating Partially,46.667,4.351,270,Please Select,Peaking Load,"Montceau-les-Mines, Saone-et-Loire, France",Please Select,,1929-00-00,E. ON (main shareholder since 2008),,,,La SNET (Societe Nationale de Electricite et de Thermique),,,http://www.snet-electricite.fr/ang_index.html
Cordemais Thermal Power Station France,France,Operating Fully,47.27556,-1.877889,2600,Sub-critical Thermal,Base/Intermediate Load,"Cordemais, Loire-Atlantique, France",Regional Grid,Loire River,1970-00-00,Electricite de France (EdF),,,,Electricite de France (EdF),,,http://www.sourcewatch.org/index.php?title=Cordemais_Power_Station_Expansion
Courrieres Coal Power Plant France (Shutdown),France,Please Select,50.44824,2.8739976,,Please Select,Please Select,"Courrieres, Pas-de-Calais, France",Please Select,,1963-00-00,,,,,Charbonnages de France,,,http://www.industcards.com/st-coal-france.htm
EdF Le Havre Coal Power Plant France,France,Operating Fully,49.47565,0.14913,1995,Sub-critical Thermal,Base Load,"La Havre, France",National Grid,Seawater,1968-00-00,Electricite de France (EDF),,,,Electricite de France (EDF),,,http://www.industcards.com/st-coal-france.htm
Emile-Huchet Coal Power Plant France,France,Please Select,49.151,6.697,1086,Please Select,Please Select,"Saint-Avold, Moselle, France",Please Select,,1952-00-00,E. ON (main shareholder since 2008),,,,La SNET,,,http://www.snet-electricite.fr/ang_index.html
Hornaing B Coal Power Plant France,France,Please Select,50.37393,3.33896,253,Please Select,Please Select,"Hornaing, Between Douai and Valenciennes, in the Nord- pas-de-Calais, France",Please Select,,1958-00-00,E. ON,,,,La SNET,,,http://www.snet-electricite.fr/ang_index.html
"La Maxe Combustion Coal Power Plant, France",France,Please Select,49.15656,6.190538,500,Please Select,Please Select,"Woippy, Moselle, France",Please Select,,1971-00-00,Electricite de France (EDF),,,,Electricié de France,,,http://energies.edf.com/edf-fr-accueil/la-production-d-electricite-edf/thermique/les-centrales-thermiques-a-flamme/la-maxe/presentation-120815.html
Altbach Coal Power Plant Germany,Germany,Operating Fully,48.7175,9.375,1200,Sub-critical Thermal,Base Load,"Altbach, Baden-Württemberg, Germany",National Grid,,1985-00-00,EnBW,,,,EnBW Kraftwerke AG,,,
Bergkamen Coal CHP Power Plant Germany,Germany,Operating Fully,51.6368,7.61908,747,Sub-critical Thermal,Base Load,"Bergkamen-Heil, North Rhine-Westphalia, Germany",National Grid,Datteln-Hamm Canal,1981-00-00,RWE Power,51,,,Gemeinschaftskraftwerk Bergkamen A oHG,,,http://www.rwe.com/web/cms/en/1770864/rwe-generation-se/locations/germany/bergkamen-power-plant/
Bexbach Coal CHP Power Plant Germany,Germany,Operating Fully,49.3631,7.23778,773,Sub-critical Thermal,Please Select,"Saarland, Germany",National Grid,,1983-10-12,KBV - Kraftwerk Bexbach mbH,75,,,Steag Power Saar GmbH,,,http://www.steag.com/bexbach.html   http://power-saar.steag-saarenergie.de/en/index.php
Boxberg Coal Power Plant Germany,Germany,Operating Fully,51.4161,14.564722,2575,Please Select,Base Load,"Boxberg, Saxony, Germany",National Grid,,1979-00-00,Vettenfall,100,Private,,Vattenfall,,,http://powerplants.vattenfall.com/node/291
Buschhaus Coal Power Station Germany,Germany,Operating Fully,52.17139,10.97694,390,Sub-critical Thermal,Base Load,"near Helmstedt, Lower Saxony, Germany",Please Select,,1985-00-00,E.ON Kraftwerke GmbH,,Private,,E.ON Kraftwerke GmbH (BKB AG),,,http://www.eon-kraftwerke.com/pages/ekw_en/E.ON_Kraftwerke/Locations/index.htm  and  http://www.eon-schafft-transparenz.de/kraftwerke/braunkohle
Datteln Coal CHP Power Plant Germany,Germany,Operating Partially,51.6295,7.3313,303,Sub-critical Thermal,Please Select,"Datteln, North Rhine-Westphalia, Germany",National Grid,Datteln-Hamm Canal,1964-00-00,E.ON Power,100,,,E.ON Power,,,http://www.eon.com/en/about-us/structure/asset-finder/datteln.html
Duisburg-Walsum Coal CHP Power Plant Germany,Germany,Operating Fully,51.52849,6.71389,1285,Both Sub and Super Critical Thermal,Please Select,"Walsum, North Rhine-Westphalia, Germany",National Grid,Rhine River,1959-00-00,STEAG GmbH (100% owner of blocks 7 and 9),51,,,Steag Power GmbH,,,http://www.steag.com/walsum.html
Frimmersdorf Coal Power Plant Germany,Germany,Operating Fully,51.0555,6.5767,2413,Sub-critical Thermal,Base Load,"Frimmersdorf, North Rhine-Westphalia, Germany",National Grid,Erft River,1955-00-00,RWE Power,,,,RWE Power,,,http://www.rwe.com/web/cms/en/9002/rwe-power-ag/locations/lignite/frimmersdorf-power-plant/
Großkrotzenburg (Staudinger) Coal CHP Power Station Germany,Germany,Operating Fully,50.088,8.9522,1823,Sub-critical Thermal,Base Load,"Großkrotzenburg, Hesse, Germany",National Grid,Main River,1965-00-00,E.ON Kraftwerke GmbH,,Private,,E.ON Kraftwerke GmbH,,,http://www.eon.com/content/eon-com/en/about-us/structure/asset-finder/staudinger.html
Gustav Knepper Coal Power Plant Germany,Germany,Operating Fully,51.5683,7.3489,364,Sub-critical Thermal,Please Select,"Dortmund, North Rhine-Westphalia, Germany",National Grid,,1971-00-00,E.ON Energie,100,,,E.ON Energie,,,http://www.eon.com/content/eon-com/de/about-us/structure/asset-finder/knepper-power-station.html
Hamburg-Moorburg CHP Coal Power Plant Gerrmany,Germany,Built and In Test Stage,53.489,9.949,1640,Ultra-Super-Critical Thermal,Base Load,"Moorburg, Hamburg, Germany",National Grid,Elbe River,2014-00-00,Vattenfall Europe,,,,Vattenfall Europe,,,http://www.vattenfall.de/de/moorburg/das-kraftwerk-moorburg.htm
Heilbronn Coal CHP Power Plant Germany,Germany,Operating Fully,49.176,9.2073,1066,Sub-critical Thermal,Base Load,"Heilbronn, Baden-Wurttemberg, Germany",National Grid,Neckar River,1965-00-00,EnBW Kraftwerke AG,,,,EnBW Kraftwerke AG,,,http://www.enbw.com/unternehmen/konzern/energieerzeugung/fossile-energie/standorte.html
Herne Coal CHP Power Plant Germany,Germany,Operating Fully,51.5502,7.18727,950,Sub-critical Thermal,Base Load,"Herne, North Rhine-Westphalia, Germany",National Grid,Rhine-Herne Canal,1962-00-00,Steag GmbH,100,Private,,STEAG GmbH,,,http://www.steag.com/herne+M52087573ab0.html   http://www.steag.com/herne.html
