Paluel Nuclear Power Plant France,France,Operating Fully,49.858220439526,0.63537042864179,5528,Pressurized Water Reactor (PWR),Siene Maritime,National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Penly Nuclear Power Plant France,France,Operating Fully,49.976440861831,1.2107379819698,2764,Pressurized Water Reactor (PWR),Seine Maritime,National Grid,Electricite de France (EdF),,,Framatome,Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Phenix Nuclear Power Plant France,France,Please Select,44.143574463038,4.7124111680719,250,Please Select,Gard,Please Select,Electricite de France (EdF),,,"CNCLNEY (CNIM-CONSTRUCTIONS NAVALES ET INDUSTRIELLES DE MEDITERRANEE CL - CREUSOT LOIRE , NE",CEA/EDF (COMMISSARIAT A L'ENERGIE ATOMIQUE / ELECTRICITE DE FRANCE),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Saint-Alban Nuclear Power Plant France,France,Operating Fully,45.404338573895,4.7553603094723,2782,Pressurized Water Reactor (PWR),"Isere, France",National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Saint-Laurent Nuclear Power Plant France,France,Please Select,47.719689923333,1.5783376340001,1912,Please Select,"Loir et Cher, france",Please Select,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Tricastin Nuclear Power Plant France,France,Operating Fully,44.331136582061,4.7311203201768,3820,Pressurized Water Reactor (PWR),"Drome, France",National Grid,Electricite de France (EdF),,,FRAM (FRAMATOME),Electricite de France (EdF),Autorité de Sûreté Nucléaire (ASN),,http://world-nuclear.org/info/inf28.htm
Biblis Nuclear Power Plant Germany,Germany,Decommissioned,49.71088,8.41475,2525,Pressurized Water Reactor (PWR),"Hessen, Germany",National Grid,RWE Power AG,,,KWU (SIEMENS KRAFTWERK UNION AG),RWE Power AG,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Brokdorf Nuclear Power Plant Germany,Germany,Operating Fully,53.8506,9.345,1440,Pressurized Water Reactor (PWR),"Schleswig-holstein, Germany",National Grid,(80%) E.ON Kernkraft GmbH 2. (20%) Vattenfall Europe Nuclear Energy GmbH,,,KWU (SIEMENS KRAFTWERK UNION AG),E.ON Kernkraft GmbH,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Brunsbuettel Nuclear Power Plant Germany,Germany,Decommissioned,53.89176,9.20256,806,Boiling Water Reactor (BWR),"Schleswig-holstein, Germany",National Grid,66.6% Vattenfall Europe Nuclear Energy GmbH and (33.3%) E.ON Kernkraft GmbH,,,KWU (SIEMENS KRAFTWERK UNION AG),Kernkraftwerk Brunsbuettal GmbH,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Emsland Nuclear Power Plant Germany,Germany,Operating Fully,52.4716,7.3204,1400,Pressurized Water Reactor (PWR),"Niedersachsen, Germany",National Grid,RWE Power AG,87.5,Private,"SIEM,KWU (SIEMENS AG, KRAFTWERK UNION AG)",Kernkraftwerke Lippe-Ems GmbH,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
